pos|word|base|stemType|declension|gender|definition
NOUN|synagoga|synagog||1|F|synagogue
NOUN|tabella|tabell||1|F|writing tablet
NOUN|tabellae|tabell||1|F|letter, document
NOUN|temeritas|temeritat|consonant|3|F|rashness, temerity
NOUN|temperantia|temperanti||1|F|moderation, temperance, self-control
NOUN|tempestas|tempestat|consonant|3|F|weather, storm
NOUN|templum|templ||2|N|sacred area, temple
NOUN|temptatio|temptation|consonant|3|F|trial, temptation
NOUN|tempus|tempor|consonant|3|N|time; occasion, opportunity
NOUN|terra|terr||1|F|earth, ground, land, country
NOUN|timor|timor|consonant|3|M|fear
NOUN|titulus|titul||2|M|label, title; placard
NOUN|toga|tog||1|F|toga
NOUN|tonsor|tonsor|consonant|3|M|barber
NOUN|tragoedia|tragoedi||1|F|tragedy
NOUN|triumphus|triumph||2|M|triumphal procession, triumph
NOUN|tumultus|tumult||4|M|uprising, disturbance
NOUN|tumulus|tumul||2|M|mound, grave, tomb
NOUN|turba|turb||1|F|crowd, throng, multitude
NOUN|tyrannus|tyrann||2|M|absolute ruler, tyrant
NOUN|umbra|umbr||1|F|shade
NOUN|umerus|umer||2|M|shoulder, upper arm
NOUN|urbs|urb|i|3|F|city
NOUN|utilitas|utilitat|consonant|3|F|usefulness, advantage
NOUN|uxor|uxor|consonant|3|F|wife
NOUN|valetudo|valetudin|consonant|3|F|health
NOUN|venia|veni||1|F|kindness, favor, pardon
NOUN|verbum|verb||2|N|word
NOUN|veritas|veritat|consonant|3|F|truth
NOUN|versus|vers||4|M|line of verse
NOUN|via|vi||1|F|road, street, way
NOUN|victoria|victori||1|F|victory
NOUN|vicus|vic||2|M|village
NOUN|vigor|vigor|consonant|3|M|vigor, liveliness
NOUN|villa|vill||1|F|villa, country house
NOUN|vinculum|vincul||2|N|bond, fetter
NOUN|vinum|vin||2|N|wine
NOUN|vir|vir||2|M|man
NOUN|vires|vir|i|3|F|strength
NOUN|virgo|virgin|consonant|3|F|maiden, virgin
NOUN|virtus|virtut|consonant|3|F|manliness, courage; excellence, character, worth, virtue, merit
NOUN|vis|vir|i|3|F|force, power, violence
NOUN|vita|vit||1|F|life; mode of life
NOUN|vitium|viti||2|N|fault, crime, vice
NOUN|voluntas|voluntat|consonant|3|F|will, wish
NOUN|voluptas|voluptat|consonant|3|F|pleasure
NOUN|vox|voc|consonant|3|F|voice, word
NOUN|vulgus|vulg||2|M|the common people, mob, rabble
NOUN|vulnus|vulner|consonant|3|N|wound
